id,university,country,addr,latitude,longitude,n,prop
84,University of São Paulo,Brazil,"University of São Paulo, Brazil",-23.5594444274902,-46.7238883972168,4,4.123711340206185
85,DanKook University,South Corea,"DanKook University, South Corea",36.4382286071777,127.832870483398,1,1.0309278350515463
86,Harvard University,United States,"Harvard University, United States",42.3742027282715,-71.1162719726562,1,1.0309278350515463
87,Centro Escolar University,Philippines,"Centro Escolar University, Philippines",15.9474067687988,121.421669006348,1,1.0309278350515463
88,Royal Holloway University,United Kingdom,"Royal Holloway University, United Kingdom",51.4248008728027,-0.566730976104736,1,1.0309278350515463
89,Universidad Nacional Autónoma de México UNAM,Mexico,"Universidad Nacional Autónoma de México UNAM, Mexico",23.75574,-99.13413,1,1.0309278350515463
90,University of Cologne,Germany,"University of Cologne, Germany",50.9280586242676,6.92860984802246,1,1.0309278350515463
91,Vrije Universiteit Amsterdam,Netherlands,"Vrije Universiteit Amsterdam, Netherlands",52.3329772949219,4.86699390411377,1,1.0309278350515463
92,"ISCTE-IUL, Portugal",Portugal,"ISCTE-IUL, Portugal, Portugal",38.70701,-9.13564,1,1.0309278350515463
93,University of Tennessee,United States,"University of Tennessee, United States",35.952823638916,-83.9445419311523,1,1.0309278350515463
94,University of São Paulo,Brazil,"University of São Paulo, Brazil",-23.5594444274902,-46.7238883972168,4,4.123711340206185
95,Federal University of Pernambuco,Brazil,"Federal University of Pernambuco, Brazil",-8.08516979217529,-34.9146385192871,1,1.0309278350515463
96,Harvard Medical School,United States,"Harvard Medical School, United States",42.336971282959,-71.1032409667969,1,1.0309278350515463
97,University of São Paulo,Brazil,"University of São Paulo, Brazil",-23.5594444274902,-46.7238883972168,4,4.123711340206185
